iter	Logloss
0	0.6911196149
1	0.6884743338
2	0.6862823831
3	0.6830034601
4	0.6798795072
5	0.677303626
6	0.6753092501
7	0.6723950807
8	0.6704253056
9	0.6673782163
10	0.6644106342
11	0.6614916661
12	0.6584065516
13	0.6560663255
14	0.6533017542
15	0.6505193806
16	0.6484570834
17	0.645971383
18	0.6437211122
19	0.6419991771
20	0.6388643944
21	0.6360924243
22	0.6337894326
23	0.6312147905
24	0.6289104658
25	0.6265781764
26	0.6238878113
27	0.6212681185
28	0.6185831223
29	0.6163850582
30	0.6149277663
31	0.6127139346
32	0.6111898928
33	0.6096855173
34	0.6083291668
35	0.606199796
36	0.6034979608
37	0.6015875575
38	0.5996263491
39	0.597947944
40	0.5955341003
41	0.5927591223
42	0.5906067166
43	0.588142839
44	0.5868553802
45	0.5847975602
46	0.5823744401
47	0.580156239
48	0.5783072286
49	0.5760436762
50	0.5737165404
51	0.571876611
52	0.5699317657
53	0.5672976856
54	0.5653758877
55	0.5629248904
56	0.5613676082
57	0.5598461703
58	0.5580175713
59	0.5564457705
60	0.5557843709
61	0.5540470154
62	0.5516226445
63	0.5496594203
64	0.5477048257
65	0.54620814
66	0.5446305695
67	0.5423809487
68	0.5402870304
69	0.5390903123
70	0.5374372423
71	0.5360387511
72	0.5342747258
73	0.5329295821
74	0.5315560865
75	0.5299554006
76	0.5284029234
77	0.5271440979
78	0.5255655326
79	0.5236342383
80	0.5218754123
81	0.520292805
82	0.5180726838
83	0.5166550367
84	0.5147594997
85	0.5135502606
86	0.511279771
87	0.5104108333
88	0.5093857452
89	0.5080179103
90	0.5065100261
91	0.5048551829
92	0.5030097653
93	0.501987781
94	0.5003899016
95	0.4983407787
96	0.4963692314
97	0.4946722422
98	0.4935141613
99	0.4915664569
100	0.4903512941
101	0.4891017541
102	0.4880370427
103	0.4866078241
104	0.4852318089
105	0.4840217427
106	0.4823674649
107	0.4811276801
108	0.4799733015
109	0.4793133381
110	0.4779469032
111	0.4761092114
112	0.474481027
113	0.4732730331
114	0.472180152
115	0.4709955199
116	0.469828597
117	0.4685979312
118	0.4671589877
119	0.4656108387
120	0.4640674751
121	0.462781643
122	0.4610973492
123	0.4598306788
124	0.4585555151
125	0.4574908956
126	0.4561397063
127	0.4549687355
128	0.4533653401
129	0.4530229235
130	0.4517942486
131	0.450862033
132	0.4502107777
133	0.4490099318
134	0.4480693065
135	0.4471778688
136	0.4454461969
137	0.4446014187
138	0.4430708289
139	0.4422393688
140	0.4406596779
141	0.439450702
142	0.43762389
143	0.4359842229
144	0.4348564972
145	0.4338981
146	0.433260946
147	0.4324669436
148	0.4314686414
149	0.4302230023
150	0.4288571128
151	0.4276673098
152	0.4263619526
153	0.4246778436
154	0.4231158613
155	0.4222234144
156	0.4212166242
157	0.4201781303
158	0.4191671397
159	0.417852292
160	0.4164033556
161	0.4154155478
162	0.4143784661
163	0.4135258313
164	0.4124095653
165	0.4110893053
166	0.4103432705
167	0.4095269723
168	0.4081060826
169	0.4074650811
170	0.4068136606
171	0.406207348
172	0.4047564919
173	0.4038409908
174	0.4029267583
175	0.4015609693
176	0.4007068476
177	0.399500516
178	0.3987751511
179	0.3978320533
180	0.396791973
181	0.3958002119
182	0.394762172
183	0.393855812
184	0.3926983541
185	0.3916136819
186	0.3907797484
187	0.3897320486
188	0.3888489683
189	0.3883346886
190	0.3874674967
191	0.3861624052
192	0.3855692571
193	0.3849739813
194	0.3837460894
195	0.3828590998
196	0.3820840094
197	0.3808037594
198	0.3800617225
199	0.3791268316
200	0.3781485613
201	0.3773480252
202	0.3766737622
203	0.376067855
204	0.3753077837
205	0.374312336
206	0.3733794587
207	0.3725946527
208	0.3721400071
209	0.371034645
210	0.3701680371
211	0.3690348459
212	0.3683274131
213	0.36756598
214	0.3666706111
215	0.3656564754
216	0.3647889385
217	0.3639227761
218	0.363210482
219	0.362401038
220	0.3616305981
221	0.3607536688
222	0.3597725296
223	0.3591420257
224	0.3583180067
225	0.3575467323
226	0.356412902
227	0.3554172009
228	0.3547138824
229	0.3537067238
230	0.3527478594
231	0.351980598
232	0.3509636708
233	0.3503740535
234	0.3498379811
235	0.3488919147
236	0.3480657843
237	0.3469774568
238	0.3459780437
239	0.3449645292
240	0.3437129256
241	0.3431043404
242	0.3425627537
243	0.3419038895
244	0.3412191524
245	0.3402648151
246	0.3397756382
247	0.3389843303
248	0.3381498469
249	0.3370557317
250	0.3363045383
251	0.3352586128
252	0.3344332487
253	0.3332627248
254	0.3323795767
255	0.3313986956
256	0.3306914405
257	0.3297817418
258	0.328794744
259	0.3283831222
260	0.3275007705
261	0.3269582901
262	0.3265292066
263	0.3259901253
264	0.3250518788
265	0.3245807374
266	0.3236290981
267	0.3226912463
268	0.322114828
269	0.3213663863
270	0.3207739526
271	0.3202285365
272	0.3196353793
273	0.3189010314
274	0.3185550228
275	0.3177191953
276	0.3170036004
277	0.3164722842
278	0.3156520375
279	0.3152070632
280	0.3144692768
281	0.3140738923
282	0.3134574281
283	0.3124306001
284	0.3118832475
285	0.3111902638
286	0.3109613475
287	0.3103417622
288	0.3096072567
289	0.3089832941
290	0.3081546098
291	0.3073021664
292	0.3065298951
293	0.3057375469
294	0.3051313846
295	0.3041963
296	0.303712816
297	0.3032098537
298	0.3025897232
299	0.3022874262
300	0.3015119784
301	0.3007465816
302	0.2999196898
303	0.2990231321
304	0.2981883671
305	0.297596345
306	0.2969044713
307	0.296357991
308	0.2959781959
309	0.295298307
310	0.2943174335
311	0.2936610033
312	0.2927542887
313	0.2921741368
314	0.2915700325
315	0.2911888343
316	0.290791153
317	0.2902819512
318	0.2898910738
319	0.289537039
320	0.2887082458
321	0.2882984501
322	0.2876396947
323	0.287133797
324	0.2865887479
325	0.2862034433
326	0.2858445684
327	0.2853169066
328	0.284992135
329	0.2846061197
330	0.283856211
331	0.2829579173
332	0.2825693101
333	0.2821477759
334	0.2812251208
335	0.2809402947
336	0.2804024663
337	0.2795886613
338	0.2791125072
339	0.2788332443
340	0.278278811
341	0.2778704002
342	0.277125602
343	0.2767703439
344	0.2764289827
345	0.2758565508
346	0.2752643099
347	0.2749841644
348	0.2745126177
349	0.2738102518
350	0.2731234331
351	0.2726689676
352	0.2723082376
353	0.2719717603
354	0.2712436798
355	0.2708436642
356	0.2702007621
357	0.2695556204
358	0.2689063537
359	0.2683667229
360	0.2679993642
361	0.2675797769
362	0.2669902785
363	0.2664146619
364	0.2660189086
365	0.2654364815
366	0.2645598675
367	0.2641489571
368	0.2634497165
369	0.2628606585
370	0.2622300758
371	0.2614952132
372	0.2610193458
373	0.2603200182
374	0.2599004353
375	0.2595385515
376	0.2592421691
377	0.2588183377
378	0.2581424885
379	0.2577329951
380	0.2573534874
381	0.2568945887
382	0.2565364298
383	0.2560965361
384	0.2555515245
385	0.2549804066
386	0.2542901232
387	0.2538888749
388	0.2531629144
389	0.2527850962
390	0.2524846671
391	0.2521850584
392	0.2516539871
393	0.2514744927
394	0.2511821913
395	0.2504448394
396	0.2499660062
397	0.2493233422
398	0.248913367
399	0.2482943709
400	0.247970942
401	0.2476736759
402	0.2473278698
403	0.2468618092
404	0.246362057
405	0.2459788437
406	0.2454643439
407	0.2450036724
408	0.2445934362
409	0.2439338242
410	0.2436283713
411	0.2431052703
412	0.2423818244
413	0.2419546506
414	0.2413407642
415	0.2409371176
416	0.2404232641
417	0.2400000708
418	0.2391746712
419	0.2386408317
420	0.2382781889
421	0.2378263114
422	0.2375714508
423	0.2370383251
424	0.2367694638
425	0.2363059278
426	0.236119342
