iter	Passed	Remaining
417	2440	3397
418	2444	3390
419	2450	3383
420	2455	3376
421	2460	3369
422	2465	3363
423	2470	3355
424	2475	3349
425	2480	3342
426	2485	3335
427	2491	3329
428	2496	3322
429	2500	3315
430	2506	3308
431	2511	3302
432	2516	3294
433	2520	3287
434	2525	3280
435	2531	3274
436	2536	3267
437	2541	3260
438	2545	3253
439	2551	3246
440	2556	3240
441	2561	3233
442	2565	3226
443	2571	3219
444	2576	3213
445	2581	3206
446	2587	3200
447	2594	3196
448	2600	3191
449	2607	3186
450	2612	3180
451	2617	3173
452	2623	3167
453	2628	3160
454	2633	3154
455	2639	3148
456	2644	3142
457	2649	3135
458	2655	3129
459	2660	3123
460	2666	3117
461	2672	3111
462	2677	3105
463	2682	3098
464	2688	3092
465	2693	3086
466	2699	3080
467	2705	3074
468	2710	3068
469	2716	3062
470	2721	3056
471	2728	3052
472	2733	3046
473	2739	3040
474	2744	3033
475	2751	3029
476	2757	3022
477	2762	3016
478	2768	3010
479	2773	3004
480	2779	2998
481	2784	2992
482	2790	2986
483	2795	2979
484	2800	2973
485	2805	2966
486	2811	2961
487	2816	2954
488	2821	2948
489	2827	2942
490	2832	2936
491	2837	2929
492	2843	2923
493	2847	2917
494	2852	2910
495	2858	2904
496	2863	2898
497	2868	2891
498	2874	2885
499	2879	2879
500	2884	2873
501	2889	2866
502	2895	2860
503	2900	2854
504	2905	2847
505	2910	2841
506	2915	2835
507	2921	2829
508	2923	2820
509	2928	2814
510	2934	2808
511	2941	2803
512	2947	2798
513	2954	2793
514	2959	2787
515	2966	2782
516	2972	2776
517	2977	2770
518	2982	2764
519	2988	2758
520	2993	2751
521	2998	2745
522	3003	2739
523	3009	2733
524	3014	2727
525	3020	2721
526	3025	2715
527	3030	2708
528	3035	2702
529	3040	2696
530	3046	2690
531	3051	2684
532	3056	2678
533	3061	2671
534	3067	2665
535	3072	2659
536	3077	2653
537	3082	2646
538	3087	2640
539	3092	2634
540	3097	2627
541	3102	2621
542	3107	2615
543	3112	2609
544	3117	2603
545	3124	2597
546	3130	2592
547	3135	2586
548	3140	2580
549	3147	2575
550	3153	2569
551	3160	2565
552	3166	2559
553	3171	2552
554	3176	2546
555	3181	2540
556	3186	2534
557	3191	2528
558	3197	2522
559	3202	2516
560	3208	2511
561	3214	2505
562	3219	2498
563	3224	2492
564	3229	2486
565	3234	2480
566	3240	2474
567	3245	2468
568	3251	2462
